features_csv_file_path,label,h5_file_path,pt_file_path
datasets/DHMC_40x/all_classes/DHMC_0091.csv,0,datasets/DHMC_40x/all_classes/h5_files/DHMC_0091.h5,datasets/DHMC_40x/all_classes/pt_files/DHMC_0091.pt
datasets/DHMC_40x/all_classes/DHMC_0024.csv,0,datasets/DHMC_40x/all_classes/h5_files/DHMC_0024.h5,datasets/DHMC_40x/all_classes/pt_files/DHMC_0024.pt
datasets/DHMC_40x/all_classes/DHMC_0022.csv,0,datasets/DHMC_40x/all_classes/h5_files/DHMC_0022.h5,datasets/DHMC_40x/all_classes/pt_files/DHMC_0022.pt
datasets/DHMC_40x/all_classes/DHMC_0025.csv,0,datasets/DHMC_40x/all_classes/h5_files/DHMC_0025.h5,datasets/DHMC_40x/all_classes/pt_files/DHMC_0025.pt
datasets/DHMC_40x/all_classes/DHMC_0020.csv,0,datasets/DHMC_40x/all_classes/h5_files/DHMC_0020.h5,datasets/DHMC_40x/all_classes/pt_files/DHMC_0020.pt
datasets/DHMC_40x/all_classes/DHMC_0092.csv,0,datasets/DHMC_40x/all_classes/h5_files/DHMC_0092.h5,datasets/DHMC_40x/all_classes/pt_files/DHMC_0092.pt
datasets/DHMC_40x/all_classes/DHMC_0023.csv,0,datasets/DHMC_40x/all_classes/h5_files/DHMC_0023.h5,datasets/DHMC_40x/all_classes/pt_files/DHMC_0023.pt
datasets/DHMC_40x/all_classes/DHMC_0021.csv,0,datasets/DHMC_40x/all_classes/h5_files/DHMC_0021.h5,datasets/DHMC_40x/all_classes/pt_files/DHMC_0021.pt
datasets/DHMC_40x/all_classes/DHMC_0019.csv,0,datasets/DHMC_40x/all_classes/h5_files/DHMC_0019.h5,datasets/DHMC_40x/all_classes/pt_files/DHMC_0019.pt
datasets/DHMC_40x/all_classes/DHMC_0006.csv,0,datasets/DHMC_40x/all_classes/h5_files/DHMC_0006.h5,datasets/DHMC_40x/all_classes/pt_files/DHMC_0006.pt
datasets/DHMC_40x/all_classes/DHMC_0066.csv,0,datasets/DHMC_40x/all_classes/h5_files/DHMC_0066.h5,datasets/DHMC_40x/all_classes/pt_files/DHMC_0066.pt
datasets/DHMC_40x/all_classes/DHMC_0090.csv,0,datasets/DHMC_40x/all_classes/h5_files/DHMC_0090.h5,datasets/DHMC_40x/all_classes/pt_files/DHMC_0090.pt
datasets/DHMC_40x/all_classes/DHMC_0093.csv,0,datasets/DHMC_40x/all_classes/h5_files/DHMC_0093.h5,datasets/DHMC_40x/all_classes/pt_files/DHMC_0093.pt
